Suburb,Type,Price,Rooms,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Distance,Lattitude,Longtitude,Regionname,Method,Date
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-10-02
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-10-03
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-10-04
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-10-05
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-10-06
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-10-07
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-10-08
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-10-09
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-10-10
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-10-11
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-10-12
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-10-13
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-10-14
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-10-15
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-10-16
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-10-17
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-10-18
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-10-19
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-10-20
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-10-21
Richmond,House,850000,3,2,2,200,150,1995,5,-37.818,144.998,Inner,S,2023-10-22
Fitzroy,Unit,450000,2,1,1,100,90,2010,10,-37.801,144.993,Inner,SP,2023-10-23
Toorak,House,2200000,5,3,3,500,400,1980,8,-37.842,145.016,Inner,PI,2023-10-24
Hawthorn,Townhouse,1200000,4,2,2,300,220,2000,6,-37.827,145.037,Inner,VB,2023-10-25
St Kilda,Apartment,600000,2,1,1,80,75,2015,12,-37.868,144.986,Inner,S,2023-10-26
Brunswick,House,900000,3,2,2,250,200,1990,7,-37.776,144.961,Inner,VB,2023-10-27
